statement,translation
ידעו שפתיים טעם נשיקה תיכנס,Know Lips Taste Kiss Come in
בדלת תכלת ממרחק יוולד עוד,At a light blue door from a distance more will be born
ילד יבכה אז יצחק אנחנו,A child will cry then Isaac we
רק הפעם אנחנו רק הפעם,Just this once We're just this once
הכוכבים למעלה דולקים נצחיים יום,The stars above are lit eternal day
יקום מלילה אנחנו זמניים אז,Rise from night We are temporary then
שירו את החופש ריקדו את,Sing the freedom Dance the
הקירבה כל שעה היא קודש,Each hour is sacred.
למעשים של אהבה כי אנחנו,For acts of love that we
רק הפעם כי אנחנו רק,Just this once because we just
הפעם אין עוד פעם זאת,This time there is no more.
הפעם אנחנו רק הפעם,This time we're just this time
נתנה תוקף קדושת היום כי,Gives validity to holiness today because
הוא נורא איום בו תנשא,He's a terrible thing to marry.
מלכותך יכון בחסד כסאך תשב,Thy kingdom reign with grace. Thy throne sit.
עליו באמת אמת כי אתה,It's true because you
הוא דיין מוכיח יודע עד,He Dane proves to know a witness
כותב חותם סופר מונה תזכור,Write a super counter seal Remember
כל הנשכחות תפתח את ספר,All that's forgotten Open up a book
הזכרונות מאליו יקרא חותם יד,The memories will be called a hand sign.
כל אדם בו בשופר גדול,Every man in it with a big shofar
יתקע קול דממה דקה ישמע,A minute silence will be heard.
מלאכים יחפזון חיל רעדה יאחזון,Angels will hasten the force of trembling Yahshon
יאמרו הנה יום הדין לפקוד,They will say here is the day of judgment to command
על צבא מרום בדין כי,On the army of Merom Badin because
לא יזכו בעיניך בדין כל,You will not be judged.
באי עולם יעברון לפניך כבני,The world will pass before you as my son
מרון כבקרת רועה עדרו מעביר,Maroon as herder-controller Herdsman Transfers
צאנו תחת שבטו כן תעביר,His flock under his clan Yes Pass
תספור תמנה תפקוד נפש כל,Count all mental functions
חי תחתוך קצבה לכל בריה,Live to cut an annuity to each creature
תכתוב את גזר דינם בראש,Write their sentences in your head.
השנה יכתבון בצום יום כיפור,This year will be written in Yom Kippur fasting
יחתמון כמה יעברון כמה יבראון,A couple of threshers. Some thresher
מי יחיה מי ימות מי,Who will live Who will die
בקצו מי לא בקצו מי,Who is not at whose end?
במים מי באש מי בחרב,In water Who by fire Who by sword
מי בחיה מי ברעש מי,Who's in the beast Who's in the noise
במגיפה מי ינוח מי ינוע,In an epidemic Who will rest Who will move
מי יישקט מי ייטרף מי,Who will be silenced Who will be devoured
ישלו מי יתייסר מי ירום,They'll have who'll be tormented. Who'll
מי יישפל מי ייעשר מי,Who will be humbled Who will be rich
יעני תשובה תפילה צדקה מעבירין,Answering the Prayer of Righteousness
את רוע הגזירה אמת כי,You're an evil decree Truth because
אתה יוצרם יודע יצרם כי,You create them know their creation because
הם בשר דם אדם יסודו,They are human-based blood flesh
מעפר סופו לעפר בנפשו יביא,From dust his end to dust his soul will bring
לחמו משול כחרס הנשבר כחציר,His bread is like a clay that is broken like hay.
יבש כציץ נובל כצל עובר,Dry as a boob Noble as a passing shadow
כענן כלה כרוח נושבת כאבק,As a cloud Bride as a wind Blows as a dust
פורח כחלום יעוף אתה הוא,Flowering as a dream will fly You are he
מלך אל חי קיים,A Living God King Exists
אחרי שסיימתי להתפרע אחרי שראיתי,After I finished rioting after I saw
כבר הכל זה לא משנה,It doesn't matter anymore.
אם אני משתגע כי הדברים,If I go crazy because things
הטובים הם תמיד אתמול כשכל,The good ones are always yesterday when
העולם מדבר מדבר כשכל הדרכים,The world speaks when all the ways
מובילות למשבר כשמה שבניתי נשבר,Leads to crisis when what I've built is broken
למיליון רסיסים זה הזמן זה,For a million fragments it's time
הזמן לניסים אחרי שסיימתי להתווכח,Time for miracles after I've finished arguing
ספרתי צללים על התקרה לא,I counted shadows on the ceiling No
נשאר לי אוויר להתמקח אין,I've got no bargain left.
לי זמן להבין מה קרה,I have time to figure out what happened.
לא קרה כשכל העולם מדבר,Didn't happen when the whole world was talking
מדבר כשכל הדרכים מובילות למשבר,Talking When All Roads Lead to Crisis
כשמה שבניתי נשבר למיליון רסיסים,When what I built was broken into a million pieces
זה הזמן זה הזמן לניסים,It's time for miracles
כשכל הפחדים מרימים את ראשם,When all fears raise their heads
מה שנשאר זה לא כאן,What remains is not here.
לא שם ניסיתי הכל נשארתי,Not there I tried everything I stayed
חסר אונים זה הזמן זה,Impaired is the time.
הזמן לניסים,Time for Miracles
יש ימים שבא לי לבכות,Some days I want to cry.
לעצום עיניים לא להיות לא,Close your eyes not to be
לראות בטח לא לצחוק יש,To see certainly not to laugh there is
ימים שאין לי מקום לא,Days I have no place No
חלום לא בית אך יש,A dream is not a home but there is
תמיד סיבה לחכות אולי מחר,Always a reason to wait. Maybe tomorrow.
יש ימים שבא לי לצעוק,Some days I want to scream.
לאבד דעת לא מוצא אל,Losing Knowledge Finds No
מי לפנות של מי למי,Who to turn whose to whom
הגורל יש ימים שאין לי,Fate There are days I don't have
תשובות רק דמעות של פחד,Answers Only Tears of Fear
אך יש תמיד סיבה לאהוב,But there is always a reason to love
אולי מחר זה לא מסתדר,Maybe tomorrow it doesn't add up.
לי זה לא מסתדר לי,It doesn't add up for me.
זה לא מסתדר לי איתך,It doesn't add up with you.
בכל מצב יש ימים שבא,In every situation there are days that come
לי לשתוק לא לחשוב עלייך,Me to shut up Not to think of you
לא לריב לא ליפול רק,Don't fight Don't just fall
לומר לך עכשיו שיש תמיד,Telling you now that there is always
סיבה לדבר לנסות עוד פעם,A reason to try again
אז אל תבכי רק תחכי,So don't cry. Just wait.
אולי מחר זה לא מסתדר,Maybe tomorrow it doesn't add up.
לי,Lee
זריחה על המדבר עולה לאט,Sunrise on the desert slowly rising
לאט נדרך אל המחר בלי,Slowly we set foot into tomorrow without
להרגיש כמעט הילד בתוכי הולך,To feel almost the child inside me walking
לי לאיבוד עכשיו זה אמיתי,I'm lost now It's real
קרב סף הבגרות עוצם את,The battle of the brink of maturity closes
העינים שוכח את כולם חובק,The eyes forget everyone embracing
את השמיים לוקח פסק זמן,The sky takes time off.
מהעולם הלב קורא הלב קורא,From the world the heart calls
לפגישות חדשות ערים רחוקות אהבות,For New Meetings Faraway Cities Love
שאוהב כאב שאכאב ממחר מתוך,Who likes pain I'll hurt from tomorrow out
השכחה הזכרונות עולים חמים כמו,The memories are as warm as
הזריחה פרועים כמו הגלים בנעלי,The sunrise is as wild as the waves in my shoes
עקב גופיה כתומה כשהיא רקדה,Heeled orange tank top when she danced
הלב דילג על פעימה הלב,The heart skipped the heartbeat
קורא הלב קורא אותו חלום,The heart reader calls it a dream
מתוק הולך נעלם נושם עמוק,Sweet Goes Gone Deep Breathing
עמוק לוקח פסק זמן מהעולם,Deep takes time off from the world
הלב קורא הלב קורא,The heart calls The heart calls
לרגל השקת המטה הלאומי להגנה,On the occasion of the launch of the National Defence Headquarters
על ילדים ברשת הוקלטה גרסה,On-line children recorded version
חדשה לקלאסיקה של ארקדי דוכין,New to Arkady Duchin's Classic
חדר משלי השיר גרסת כולל,Room of my own The song version includes
בית חדש שכתב דוכין למאבק,A new home written by Duchin for the struggle
באלימות נגד ילדים ברשת יש,Violence against children online has
לי חדר משלי בחדר יש,I have my own room in the room.
אור זה כרגע לא אני,The light is not me.
או אני בשחור זה נמשך,"Oh, I'm in black. It goes on."
כמעט שבוע או כבר כמה,Almost a week or so.
ימים אם תשאל אותי מדוע,Days if you ask me why
זה עמוק בפנים תתגבר תתגבר,It's deep down. Get over it. Get over it.
כך אומר לי הקול להיפגע,That's what the voice tells me to get hurt
ליפול כל אחד יכול לכולנו,Falling down can be for all of us.
מותר להיות חלשים רק לא,"You can be weak, just not."
לאטום אוזניים לא לעצום עיניים,Seal your ears Don't close your eyes
לא לעזוב ידיים גם בימים,Don't leave hands even on days
קשים אפילו בימים קשים יש,It is difficult even in difficult times.
לי חדר משלי בו אני,I have my own room where I
נח כמה כל זה ימשך,Rest how long it all lasts
כמה שמוכרח בינתיים זה שבוע,How long it takes is a week.
או כבר כמה ימים אם,"For a few days now, if"
תשאל אותי מדוע זה עמוק,Ask me why it's deep.
בפנים תתגבר תתגבר כך אומר,Inside you'll get over it So says
לי הקול להיפגע ליפול כל,I have the sound of being hurt Fall all
אחד יכול לכולנו מותר להיות,One can we all be allowed to be
חלשים רק לא לאטום אוזניים,Weak just don't seal ears
לא לעצום עיניים לא לעזוב,Don't close your eyes Don't leave
ידיים גם בימים קשים אפילו,Hands even on hard days
בימים קשים החדר מנותק ריק,On difficult days the room is disconnected and empty
שחור הם צחקו כל כך,Black They laughed so hard
עד שכיביתי האור קו הרשת,Until I turned off the light The grid line
נמחק נחצו הגבולות זה בכלל,Erased Crossed Boundaries It Is At All
לא משחק זה למות או,Not a game is to die or
לחיות,Live
גשר צר שמתקלף לא נושבת,A narrow bridge that peels does not blow
רוח ים תקוע זאת רוח,A sea breeze is stuck. It's a wind.
מלחמה או רוח געגוע דצמבר,War or the Wind of Missing December
שוב דופק בשער חבוש קסדת,Knocking at the gate again wearing a helmet
חייל הבית ריק תנור דולק,Home soldier empty oven lit
צל כבד מעל חורף עיר,A heavy shadow over a city winter
קטנה חורף רוח עדינה זמן,Small Winter Wind Delicate Time
להתנקות חורף קצת לבכות חורף,Getting clean Winter a little cry Winter
את כמו הרוח משתנה חלק,You're like the wind changing smooth
מיובש של חוף גם את,Dried of a beach You too
דגי הסלע החומים אין מי,The brown rockfish has no water
שיטרוף מקצה הים לאט משתנה,Stalking from the edge of the sea slowly changes
הרוח זריחה עולה לאט לאט,The Wind Rises Slowly
הסוף חורף את כמו הרוח,The end winters You like the wind
משתנה גשר צר שמתקלף לא,A narrow bridge variable that peels off no
נושבת רוח ים תקוע זאת,Blowing sea breeze Stuck it
רוח מלחמה או רוח געגוע,Wind of war or wind of longing
היום אני פותח את הדלת,Today I open the door.
למה שהתחייבתי להיות ביום המתחדש,What I promised to be on the Renewed Day
עוזב אותך שואלת למשחקים באש,Leaving you asking for games on fire
עובר שנים של פחד ברגעים,Going through years of fear in moments
של כאב נחנק מן הכבלים,Of pain Choked from the cables
המכבידים על הלב פנים מתוך,The burdens on the heart face out of
תמונות עולות מן השתיקות שואלות,Pictures arise from silences asking
אותי לאן אני חייל של,Where am I a soldier of?
גורל בכל מקום בו אני,Fate wherever I am
עומד חייל של גורל בכל,Stands a soldier of fate in all
מקום אליו אני צועד חייל,A place where I walk Soldier
של גורל אין לי מענה,Of fate I have no answer
לשאלות חי באשליות אני חייל,For questions live in illusions I am a soldier
של גורל בכל מקום אליו,Of fate everywhere to him
אני הולך חייל של גורל,I'm going soldier of fate
בכל משעול שבו אני דורך,In every lane where I step
חייל של גורל אין לי,A soldier of fate I do not have
מענה לשאלות חולם אותך בדרך,Answering questions dreams you on the way
מתמשכת ממנה אין להלך חזרות,Continued from her There is no going back
דמויות חסרות זהות רואות אותך,Identical Characters See You
נופלת מתנפצת לבועות האש עוד,Falling shatters into the bubbles of fire more
לא כבתה היא מתחזקת הכאב,Not extinguished She grows stronger The pain
הולם אילם בין הרקות שוגה,Holm mute among the temples errs
באשליות לנשום אותך עוברת כושל,In illusions breathe you through a failed
בין הטיפות אני חייל של,Among the drops I am a soldier of
גורל בכל מקום אליו אני,Fate wherever I am
הולך חייל של גורל בכל,A soldier of fate goes in all
משעול שבו אני דורך חייל,A lane where I step soldier
של גורל אין לי מענה,Of fate I have no answer
לשאלות עובר שנים של פחד,Questions go through years of fear
ברגעים של כאב נחנק מן,In moments of pain suffocated from
הכבלים המכבידים על הלב פנים,The cables weighing on the heart face
מתוך תמונות עולות מן השתיקות,From images rising from silences
שואלות אותי לאן אני חייל,They asked me where I was a soldier.
של גורל בכל מקום בו,of fate wherever
אני עומד חייל של גורל,I stand a soldier of fate
בכל מקום אליו אני צועד,Everywhere I walk
חייל של גורל אין לי,A soldier of fate I do not have
מענה לשאלות חי באשליות אני,Answering questions live in illusions I
חייל של גורל בכל מקום,Soldier of fate everywhere
אליו אני הולך חייל של,To which I go a soldier of
גורל בכל משעול שבו אני,Fate in every lane in which I
דורך חייל של גורל אין,A soldier of fate has no
לי מענה לשאלות,Lee Answers Questions
אנחנו העם שהלך במדבר אנחנו,We are the people who walked in the desert
קיבלנו תורה על ההר היינו,We got a turn on the mountain We were
כולנו הסנה הבוער אלינו הקול,We are all the burning bush to us The voice
משמיים דיבר אותנו ליוו אמונה,Heaven has spoken us unto faith.
חלום שיחד נושיט יד אחת,A Dream Together Reaches Out One Hand
לשלום כל עוד ליבנו פועם,Peace as long as our hearts beat
כאחד עד דור אחרון התקווה,As One to the Last Generation of Hope
לא תאבד יחד נעמוד כולם,You won't be lost together. We will all stand.
בשביל אחד אחד בשביל כולם,For one for all.
עד שנשנה עולם יחד נעמוד,Until we change a world together we will stand
יחד נעמוד יחד נעמוד הללויה,Together we will stand together We will stand Hallelujah
איתנו יבואו בני כל האומות,The children of all nations will come with us.
יחד נבקיע את כל החומות,Together we'll score all the walls
נקים אז עולם בלי האש,A world without fire.
הדם עולם בו אדם הוא,The blood of a world in which a man is
אדם לאדם כולנו נבוא לבנים,Man to man We shall all come white
שחורים נשים גברים ילדים הורים,Black Women Men Children Parents
ביחד נבנה עולם של תקווה,Together we will build a world of hope.
עולם מאוחד שדגלו אהבה יחד,A united world that espoused love together
נעמוד,We will stand
אל תהפכי את שעון החול,Don't Turn the Hourglass
ימים ברקיע ימים בכחול הפחד,Days in the sky Days in the blue Fear
שלי אלייך חודר גובר על,Mine to you penetrates over
הזמן שזורם עובר את כאן,The time that flows through here
ליידי יפה זרה אך בכל,A beautiful foreign lady but in all
זאת הרווחתי עוד יום בלהט,This I earned another day passionately
דתי בנשימה עצורה נצמד אל,My religion with bated breath clings to
גופך העירום באויר לילי הדומם,Your naked body in the still night air
את ריח צווארך נושם בשקט,The smell of your neck is still breathing.
עד שנירדם כמו בפעם הראשונה,He fell asleep like the first time.
הכל כל כך בלתי נמנע,Everything is so inevitable.
כולך מן הבלתי נמנע המגע,All of the Inevitable Touch
של הגוף מכפר על הכל,The body's making up for everything
ימים ברקיע ימים בכחול הפעם,Days in the sky Days in the blue This time
ניצחתי את הזמן שנגדי עוד,I beat the time we say more.
לילה אחד אחרון את איתי,One last night You're with me
את כאן ליידי יפה זרה,You're here Lady Beautiful Stranger
באויר לילי דומם,In the still night air
זאת אולי האהבה הגדולה של,This may be the great love of
חיינו עד סוף ימינו זאת,We lived to the end of our days.
אולי האהבה שיכולה לשנות הכל,Maybe the love that can change everything
זאת אולי ההקרבה הגדולה של,This may be the great sacrifice of
נפשנו של גופנו זאת אולי,The soul of our body is perhaps
ההקרבה שמולה אין עוד מה,The sacrifice in front of her is no more.
לשאול להרגיש לו רק פעם,Asking to feel for him only once
אחת כל עוד הלב לא,As long as the heart is not
מת להרגיש לו רק פעם,Dying to feel for him only once
אחת יש אהבה יש אהבה,One has love There is love
אמת רק לא שוב האכזבה,Truth Only Not Again The Disappointment
הגדולה שידענו גם נשבענו רק,The great that we also knew We swore only
לא שוב האכזבה שכולה פחד,Not again the disappointment that is all fear
ייאוש להרגיש לו רק פעם,Desperation to feel only once
אחת כל עוד הלב לא,As long as the heart is not
מת להרגיש לו רק פעם,Dying to feel for him only once
אחת יש אהבה יש אהבה,One has love There is love
אמת זאת אולי האהבה הגדולה,True that may be the great love
של חיינו עד סוף ימינו,of our lives to the end of our days.
זאת אולי האהבה שיכולה לשנות,It may be the love that can change
הכל,All
לפעמים אני חושב לעצמי אני,Sometimes I think to myself
איתך כבר הרבה ימים עיקר,With you for many days
הדברים שומר לי בפנים לא,Things keep me in. No.
אמרתי לך כשראיתי שתי דמעות,I told you when I saw two tears
על לחייך שאלתי רק אם,About smiling I only asked if
תרצי שאלך ידעתי שאבכה בגללך,Would you like me to go? I knew I'd cry because
לא אמרתי לך עץ מול,Didn't I tell you a tree in front
הרוח יקרוס תחתיו אם לא,The wind would collapse under him if it didn't
יכופף לפעמים ענפיו אז למה,He will sometimes bend his branches So why
קשה לי לומר לך את,I find it hard to tell you.
דבריי אם הבטחתי לחיות לצידך,Speak if I have promised to live by your side
כל חיי לפעמים אני נסגר,All my life sometimes I shut down
בתוכי עם כל הטוב הרע,Inside me with all the bad good
שבי כמעט הלכת מכאן לתמיד,Sit down. You almost went away for good.
כי לא אמרתי לך יש,Because I didn't tell you there was
דרכים רבות לחמוק מלומר הולכים,Many ways to avoid saying go
מסביב לא נוגעים בעיקר אני,I don't touch around mostly.
אוהב אוהב רק אותך לא,Love only loves you No
אמרתי לך עץ מול הרוח,I told you a tree in front of the wind
כמו פנתר מצויר שנכלא בסוגר,Like a cartoon panther locked in a bracket
מיואש מיוסר כי לא מצא,Desperately tormented because he could not find
מוצא אך לפתע אזר אומץ,Finds but suddenly summons courage
לב מאויר השליך את הפצצה,An aired heart dropped the bomb
לחופשי יצא כמו שפן מצויר,Freed out like a cartoon rabbit
שנדרס בכיכר מקומט כמו נייר,Who was run over in a crumpled square like paper
בלי שום סיכוי לחיות אך,"No chance to live, but"
לפתע נזכר שכל רגע יקר,Suddenly he remembered that every moment was precious.
אז בשתי שניות הוא קם,So in two seconds he got up
בלי בעיות כך לעולם אחזור,No problems This way I'll never come back
כמו אותו גיבור גיבור שלא,Like that hero hero who doesn't
נשבר בסרט מצויר כאן לעולם,Broken in a cartoon here to the world
אפתור בעיות אין ספור כשהכל,I will solve countless problems when everything
נגמר אני איתך נשאר מסתתר,Over. I'm with you. Staying hidden.
מנתר כמו יויו חוזר מתפרק,bounces off as Yoyo returns falling apart
מתחבר בלא שום הגיון מאתר,Connecting without any logic from a site
מאלתר לא מוכן לוותר עולה,Improvising won't give up goes up
על רעיון עולה על כל,On an idea surpasses all
דמיון פתרונות חכמים פתרונות מדהימים,Imagining Smart Solutions Amazing Solutions
לפעמים אלימים אך רק כשאין,Sometimes violent but only when there is no
ברירה במרדף האימים מת אלפי,A choice in the horror chase has died thousands
פעמים אבל זה לא נורא,Sometimes but it's not bad
הוא בא בחזרה כך לעולם,He came back like this to the world
אחזור כמו אותו גיבור גיבור,I'll come back like the same hero
שלא נשבר בסרט מצויר כאן,Not broken in a cartoon here
לעולם אפתור בעיות אין ספור,I will never solve countless problems
כשהכל נגמר אני איתך נשאר,When it's all over I'm with you
כמו גיבור מצויר טה טה,Like a cartoon hero Tae Tae
אתכנן מבצעים אשנה אמצעים אחליף,I'll plan operations I'll change measures I'll replace
גם צבעים כדי להיות קרוב,Also colors to be close
כן אלוף הקטעים בין הרים,Yeah. The mountain section champion.
סלעים בבית ברחוב עד הסוף,Rocks in the street to the end
הטוב בבית ברחוב עד הסוף,The Good in the Street to the End
הטוב בבית או ברחוב עד,Good at home or on the street until
הסוף הטוב,The happy ending.
ברגע אחרון פחדתי לגשת אל,At the last moment I was afraid to approach
תוך הצווארון זולגות טיפות של,Inside the collar are droplets of
גשם הראש מסתחרר מסתובב כמו,Raining head spins around like
העולם כולו אזהרה פעימה של,The whole world's a heartbeat warning of
הלב מה אם תגידי לא,What if you say no?
לא לוקח בקלות מפחד מכל,Doesn't take easy for fear of everything
טעות לא נותן לא מסתכן,A mistake doesn't give no risk
נוהג בזהירות לא לוקח בקלות,Driving cautiously doesn't take easy
נאבק במציאות מצללים על הקירות,Struggling with reality from shadows on the walls
בפחדים מהילדות הגשם מתחזק עם,Fears of childhood The rain grows stronger with
קול חזק של רעם אם,A loud sound of thunder if
לא ניפגש עכשיו לא ניפגש,We won't meet now We won't meet
אף פעם פוסע צעדים עומד,Never steps up standing
בשלולית קפואה ידיים טיפה מזיעות,In a frozen puddle Hands a little sweaty
בכיסים תגידי מה השעה לא,In your pockets Say what time it is No
לוקח בקלות מפחד מכל טעות,Takes lightly afraid of every mistake
לא נותן לא מסתכן נוהג,Doesn't give no risk of driving
בזהירות לא לוקח בקלות נאבק,Carefully doesn't take easy Struggling
במציאות מצללים על הקירות בפחדים,In reality from shadows on the walls in fear
מהילדות לא לוקח בקלות מפחד,Childhood doesn't take easy from fear
מכל טעות לא נותן לא,Any mistake gives no
מסתכן נוהג בזהירות לא לוקח,Risk driving carefully does not take
בקלות נאבק במציאות מצללים על,Easily wrestled with reality from shadows on
הקירות בפחדים מהילדות לא לוקח,The walls in childhood fears don't take
בקלות,Easily
לא נגמר הים את שכובה,The sea does not run out.
על החול החם שתי עיניים,On the warm sand Two eyes
ירוקות בשחפים נס ממך האור,Green in the seagulls A miracle from you The light
חום הופך לקור עד דלת,Heat turns cold to a door
ביתך נתהלך יחפים אין לי,Your house shall walk barefoot I have not
אוויר קרסו מפרשי אמרת שהלילה,Air collapsed Sails You said that tonight
את חוזרת אלי מהים אשוב,You're coming back to me from the sea I'll be
עד מפתן שערייך הגשם מכה,Up to your doorstep the rain strikes
על גגות מגדלייך לא נגמר,The roofs of your towers are not over.
הים מראש צוק מורם אקנא,The sea from the top of the cliff is raised aqna
ביופייך המשקר עד שארית כוחותיי,Your lying beauty to the rest of my powers
ארעד על סדין אדום הבד,I will tremble on the red sheet of cloth
תתעטפי בגופו של אחר אין,Wrap yourself in another's body There is no
לי אוויר לא לב למכירה,Me air not heart for sale
אמרת שהלילה את שולחת אותי,You said you were sending me tonight.
חזרה אל הים אשוב עד,Back to the sea I shall return until
מפתן שעריו אנפץ את דמותך,I'll smash your figure
אתערטל בין גליו לא נגמר,I'll be naked between his waves Not over
הים את שכובה על החול,The sea is lying on the sand
החם שתי עיניים ירוקות אין,The warm two green eyes do not
לי אוויר לא לב למכירה,Me air not heart for sale
אמרת שהלילה את לוקחת אותי,You said tonight you were taking me
חזרה מהים אשוב עד מפתן,Back from the sea I'll return to the threshold
שערייך הגשם מכה על גגות,Your gates The rain strikes on rooftops
מגדלייך,Your Towers
אם לא אספר לך לא,If I don't tell you no
תשאלי אם לא אגע בך,Ask if I won't touch you.
לא תתקרבי אצלך האהבה נגמרה,You won't come near you. Love is over.
מזמן נשארתי עם עצמי עם,I have long been with myself.
עצמי הו הו שום דבר,Self Oh Oh Nothing
לא נוגע בך הו הו,Don't touch you Oh oh
שום דבר לא נוגע בך,Nothing touches you.
לא נוגע את לא מבקשת,No touching You don't ask
לדעת אותי אם לא אגלה,Knowing me if I don't find out
לך לא תחפשי אצלך האהבה,Don't go looking for love.
נגמרה מזמן נשארת כאן בשביל,It's long over. You stayed here for
מי בשביל מי הו הו,Who's Who for Who's Who?
שום דבר לא נוגע בך,Nothing touches you.
אם אתה בחדר מחכה לה,If you're in a room waiting for her
