sentence,label
ביוכימיה קשורה גם לביולוגיה מולקולרית,וגנטיקה.
"כימיה אורגנית היא חקר המבנה,","התכונות,"
תרכובת אורגנית מוגדרת כתרכובת המבוססת,על
כימיה אי-אורגנית היא חקר התכונות,והתגובות
ההבדל בין הדיסציפלינה האורגנית והאי-אורגנית,מטושטש
מדע החומרים הוא התחום שבו,"מכינים,"
תחום זה הוא הרחבה של,הלימודים
מערכות המחקר העיקריות כוללות את,הכימיה
כימיה פיזיקלית היא חקר הבסיס,הפיזיקלי
ישנה התמקדות רבה בדינמיקה ובאנרגיה,של
תחומים חשובים בכימיה פיזיקלית הם,תרמודינמיקה
כימיה פיזיקלית חופפת במידה רבה,לפיזיקה
כימיה פיזיקלית מתבססת בחלקה על,השימוש
תחום זה מקושר בדרך כלל,למכניקת
כימיה פיזיקלית היא תחום שונה,מפיזיקה
כימיה תאורטית היא ענף תאורטי,בכימיה
בשנים האחרונות תחום זה משפיע,במיוחד
החל מסוף מלחמת העולם השנייה,התפתחות
סטריאוכימיה - כימיה של מולקולות,בעלות
אלקטרוכימיה - ניצול של תנועת,האלקטרונים
ננוטכנולוגיה - טכנולוגיה חדישה המפתחת,עצמים
פיזיקה כימית - תחום החוקר,תופעות
אפשר להגדיר את התחום כחקר,תהליכים
Athlon הוא מותג לסדרת מעבדים,מסוג
השם Athlon נבחר על ידי,AMD
חברת AMD הוקמה בשנת 1969,על
במשך שנים רבות ייצרה מעבדים,תואמי
השינוי במעמדה של AMD כגרורה,של
ב-1996 ייצרה AMD את המעבדים,הראשונים
המעבדים תוכננו לצאת ב-1995 אך,עקב
המעבדים החדשים קיבלו את השם,K5
ב-1997 החלה AMD לשווק את,סדרת
בהרצאה המבטאת את השקפתה של,AMD
מעבד את'לון על תושבת מסוג,Slot
"המעבדים, שכונו רטרואקטיבית בשם Classic","Athlon,"
האת'לון היה המעבד הראשון של,AMD
מעבדי את'לון היו המיקרוארכיטקטורה השביעית,של
האופן שבו התחברו המעבדים ללוח,האם
ה-Slot A והחיבור של אינטל,באותה
עובדה זו הקלה על יצרני,לוחות
הליבה הראשונה של האת'לון נקראה,Argon
"ליבת הארגון, שיוצרה בליתוגרפיה (תהליך",בו
היתרונות של הקטנה של שיטת,ייצור
ליבת Pluto הוחלפה מאוחר יותר,בליבת
מעבדי ה-Athlon שיוצרו ל-Slot A,היו
אחת הסיבות לנעילת המכפלה הייתה,למנוע
מעבדים כאלה היו לעתים קרובות,לא
אף על פי שהאת'לונים היו,בעלי
ב-5 ביוני 2000 הכריזה AMD,על
ליבה זו יוצרה בשתי גרסאות:,הגרסה
בגרסה השנייה חזרה AMD לשיטה,המסורתית
התושבת החדשה נקראה Socket A,והיו
המעבדים שיוצרו עבור Socket A,פעלו
עלייה בביצועי המעבדים הושגה הודות,לשינוי
גודל הזיכרון אמנם קוצץ ל-256KB,(לעומת
"ככלל, למהירות הזיכרון השפעה מכרעת",יותר
ה-T-Bird היו גם המעבדים הראשונים,שעבדו
מעבד Athlon XP 2400+ למחשבים,ניידים
המעבדים הראשונים בסדרה זו הושקו,ב-9
מכיוון שהמעבדים מסדרה זו הציגו,ביצועים
כך לדוגמה מעבד Athlon XP,בעל
שיטת דירוג זו ידועה בשם,PR
"מעבדי ה-Athlon XP, שיוצרו רק",ל-Socket
ב-10 ביוני 2002 הכריזה AMD,על
המעבדים החדשים היו המעבדים הראשונים,של
ליבת T-Bred סבלה מבעיות חום,ועיצוב
עקב כך נמכרו רק מעבדים,במהירות
ב-21 באוגוסט 2002 יצאה לאור,גרסה
גרסה זו הכילה שכבת מתכת,נוספת
ליבת T-Bred הציגה שיפור ב-FSB,ל-333
ב-10 בפברואר 2003 שוב הציגה,AMD
אף על פי שמעבדים בעלי,ליבה
ארכיטקטורת K7 נמתחה לקצה גבול,היכולת
על מנת להמשיך לייצר מעבדים,תחרותיים
AMD Athlon 64 FX -,ניתן
סדרת מעבדים זו הציגה חידושים,רבים.
המאפיין החדש הבולט ביותר הוא,תמיכה
היתרון הגדול של סט פקודות,זה
"אף על פי כן, יש",הטוענים
את סט הפקודות החדש שילבה,AMD
סדרת מעבדי Athlon 64 הצטרפה,למעבדי
עוד טכנולוגיה שנוספה ל-Athlon 64,היא
כאשר לא נעשה שימוש רב,"במעבד,"
"בנוסף, על החלק העליון של",המעבדים
AMD ערכה גם שינוי משמעותי,במיקום
מעבר לעובדה שהבקר פעל באותו,התדר
חידוש נוסף שהביא Athlon 64,הוא
Athlon 64 יוצר עבור מגוון,גדול
Socket 754 - התושבת הראשונה,שייצרה
עלויות הייצור של ההתושבת היו,נמוכות
מאפיין חשוב של המעבדים שיוצרו,לתושבת
רוחב הפס הכפול מושג באמצעות,הכללת
Socket 939 - התושבת השנייה,שייצרה
היא שווקה החל מיוני 2004,ויועדה
Socket 940 - תושבת המיועדת,לשרתים
"בגלל היותה פלטפורמה לשרתים, המעבדים",שיוצרו
AM2 - תושבת שנועדה להחליף,הן
התושבת שווקה החל מ-23 במאי,2006.
מספר הפינים בתושבת ה-AM2 הוא,940
"למרות זאת, בגלל סידור הפינים",השונה
תושבת ה-AM2 תמכה בזיכרונות DDR2,שמסוגלים
בזמן ההשקה בספטמבר 2003 היו,רק
מעבדי Athlon 64 הראשונים היו,בעלי
עם השקת תושבת 939 ביוני,2004
בהמשך עברה AMD לייצר את,הליבות
Athlon 64 3400+ עם ליבת,Newcastle
מעבדי Athlon 64 X2 הם,המעבדים
זהו למעשה מעבד המכיל שתי,ליבות
היתרון בשימוש במעבדים מרובי ליבות,הוא
כדי לנצל את העיבוד המקבילי,מערכת
כאשר תוכנות כאלה רצות על,Athlon
מספר הטרנזיסטורים במעבדים כפולי ליבה,גבוה
תפוקת המעבדים הקטנה גורמת לכך,שעלות
לאחר שנים רבות שבהן נשאו,מעבדיה
את סדרת Athlon 64 X2,יחליפו
סדרת המעבדים לשוק הגבוה שתחליף,את
שם הליבות של Phenom FX,יהיה
כל מעבדי סדרת ה-Phenom החדשה,יותאמו
"למרות זאת, סדרה אחת בדור",K10
אופי התקשורת - שרת לקוח,(Client-Server).
מבנה הרשת - טופולוגית רשתאפיק,(Bus).
"נתב נַתָּב, או רַאוּטֶר (מאנגלית:","Router),"
רשת האינטרנט היא רשת תקשורת,הנתונים
רשת האינטרנט איננה עשויה מקשה,"אחת,"
עם השנים הלכה וגדלה רשת,האינטרנט
"עמודי אינטרנט, תמונות, שירים, וכל",מידע
מבחינות רבות דומה תנועת הנתונים,באינטרנט
כלי רכב מסוגים שונים עושים,את
גורמים אלו מנתבים את התנועה,ממקום
"לדוגמה, בהתרחש תאונה בכביש, ייתכן",ששוטר
בתפקיד שוטרי התנועה של רשת,האינטרנט
נתבים משמשים במגוון תפקידים רחב,כדי
נתבים משמשים לניתוב נתונים מרשת,אחת
"לדוגמה, מרשת האינטרנט, לרשת הפרטית",של
משימה זו מופיעה כחלק מהשכבה,"השלישית,"
"כחלק ממשימת הניתוב, עשוי הנתב",להשתמש
בשיטה זו מנסה הנתב לחשב,את
"לצורך כך, כל רכיב תקשורת",בו
במידה וקיימים כמה מסלולים אפשריים,"ליעד,"
הדבר דומה במקצת לבחירת נתיב,הנסיעה
בהנחה שהעיכוב הממוצע בכל רמזור,ורמזור
"כיום, נוטים נתבים להתחשב פחות",במספר
הנתב עשוי להשתמש בפרוטוקולי ניתוב,נוספים
השימוש בפרוטוקולים אלו נקרא ניתוב;,ופרוטוקולים
"כאשר הנתב מקבל חבילת נתונים,",הוא
במטרה להעבירה לתחנה הבאה בשרשרת,(ולקרב
"הבולט שבפרוטוקולים אלו, הוא פרוטוקול",האינטרנט
"קיימים פרוטוקולים מנותבים נוספים (לדוגמה,","IPX),"
ישנם שני סוגים עיקריים של,נתבים:.
"נתב ביתי, הוא רכיב תקשורת",פשוט
תפקידו העיקרי של הנתב הביתי,לגשר
בבתים רבים כיום יש מספר,מחשבים.
מחשבים אלו יוצרים ביחד רשת,"זעירה,"
"למחשבים שונים ולמשתמשים שונים, יכולות",להיות
"לדוגמה, בבית שבו שני מחשבים",המחוברים
"אם בבית זה יש נתב,",הבקשות
"הנתב מצידו, רושם איזה משתמש",ביקש
"ספק האינטרנט בתורו, מחזיר את",העמודים
"הנתב, שקיבל שני עמודי אינטרנט","שונים,"
כאשר מגיע עמוד (או כל,חבילת
"בכך, מאפשר הנתב לכמה מחשבים",לחלוק
"מנקודת מבטו של ספק האינטרנט,",הדבר
"מבחינתו, אין הבדל בין הבקשות",השונות
הדבר דומה לממיין דואר במשרד,גדול.
נניח שברשותך כתובת הדואר של,משרד
"ברצונך ליצור קשר עם המשרד,",על-מנת
"אתה שולח מכתב למשרד, כאשר",המען
"כאשר המעטפה מגיע למשרד, היא",נפתחת
הממיין רואה שהמדובר בבקשה מתחום,"הנדל""ן,"
"באופן דומה, אם מגיעה בקשה",מתחום
ממיין הדואר מבצע פעולה דומה,לזו
מבחינתו של העולם החיצוני -,יש
כל הבקשות והחבילות יגיעו לכתובת,זו
בתוך המשרד ישנה תיבת דואר,לכל
"ממיין הדואר, דואג לנתב את",המכתבים
"נתב ביתי תקני, מסוגל לתמוך",הן
לנתב תקני יש בדרך כלל,כניסה
"בנוסף, לנתב מספר יציאות פיזיות",(בדרך
"בדרך כלל, יתמוך הנתב גם",בחיבורים
"באמצעות חיבורים אלו, מחשבים שונים",יכולים
"נתב ביתי תקני, מסוגל בדרך-כלל",לתמוך
דבר זה מאפשר שימוש בנתבים,"ביתיים,"
מעבר לתפקידו הראשי כמגשר בין,"רשתות,"
שירותים אלו חורגים לרוב מהגדרתו,של
בעצם עובדת חיבורם הפיזי של,המחשבים
"בכך מתאפשרים שיתוף והעברת קבצים,",בין
תרומה נוספת אותה מבצעים נתבים,היא
כאשר מגיע לנתב עמוד אינטרנט,(או
במידה והנתב לא רואה שחבילת,המידע
"בכך, מונע הנתב התקפות רבות",ביותר
מרבית הנתבים הביתיים מסוגלים להעמיד,חומת
במידה והנתב משמש גם כחומת,"אש,"
"בצורה הבסיסית ביותר, יש בידי",הנתב
זוהי רשימת כתובות של אתרים,אסורים
כאשר מגיעה לנתב בקשה ממשתמש,לעמוד
"במידה, וישנה התאמה (המשתמש ביקש",דף
"נתבים מתקדמים מעט, מסוגל לאכוף",מדיניות
מאפיין נוסף אותו ניתן למצוא,בנתבים
על-מנת להקים קשר עם ספק,"האינטרנט,"
בבתים רבים נמצא המודם בין,שקע
"עם זאת, ישנם נתבים רבים",המסוגלים
"במקרה כזה, מחברים את הנתב",ישירות
"הדבר חוסך חוטים מיותרים, שקע",חשמלי
נתבים תומכים בשירותים ובתכונות הבאות:,"DHCP,"
"נתבים תעשייתיים, דומים בתכונותיהם לנתבים",ביתיים.
"עם זאת, נפח המידע, כמות",הבקשות
"נתבים תעשייתיים, נועדו לעמוד בעומסי",עבודה
"בשל כך, נמצאים נתבים אלו",בארגונים
אחד המקומות בהם נמצאים נתבים,אלו
היקף הניתוב בנתבים אלה הוא,עצום
חלק מהבקשות הן לעמודי אינטרנט,השוכנים
חלק מהבקשות הן למידע דיגיטלי,"אחר,"
לא כל הנתבים התעשייתיים מציעים,את
בשל עומס העבודה הרב על,נתבים
"לשם כך, יש לחבר לנתב",רכיבים
התצורה הפיזית של נתב משתנה,"רבות,"
מחירו של נתב תעשייתי נע,בין
אחת מהיצרניות המובילות בעולם בתחום,"זה,"
טיפוס TopRope היא צורת הטיפוס,הנפוצה
במסלול Top Rope חבל האבטחה,מחובר
צורת אבטחה זו מכתיבה גם,את
צורת טיפוס זו נפוצה בקרב,המתחילים
בניגוד לצורות טיפוס אחרות (כמו,הובלה)
[האינטרנט (בעברית: מִרְשֶתֶת) היא רשת,מחשבים
"ההיקף, כמות המידע העצומה האגורה",בה
יש הטוענים כי בצורתו הנוכחית,מגשים
"השם ""אינטרנט"" (באנגלית, Internet) הינו",קיצור
"האינטרנט (באנגלית the Internet), שבו",דן
האקדמיה ללשון העברית קבעה את,המילה
"קיימות גם רשתות אינטרנט נוספות,",שאינן
חזון האינטרנט הופיע במספר ספרי,מדע
אחת התחזיות שניתן להשוותן לאינטרנט,של
"בסיפור זה, בני אדם משתמשים",במכשירים
ניתן לזהות את שורשי האינטרנט,במחקר
מחקר כזה נערך בתאגיד RAND,על
המטרה המרכזית למחקר הייתה לבדוק,טכניקות
התקשורת הראשונה נעשתה ב-29 באוקטובר,1969
"רשתות הליבה, שיצרו את הבסיס",לרשת
הסוכנות בחנה אפשרויות שונות לניהול,"הרשת,"
"ב־1 בינואר 1983, הוחלפה התשתית",של
זוהי למעשה הנקודה שבה הפך,האינטרנט
ההתפתחות הבאה באה מכיוון הקרן,הלאומית
"בדומה לרשת של ARPA, רשת",זו
תחנת העבודה ששימשה את טים,ברנרס-לי
לשם כך פיתח בסביבת NeXTStep,שפה
העבודה על הפרויקט החלה באוקטובר,"1990,"
במהלך שנת 1991 הם הציעו,את
ב-6 באוגוסט 1991 נפתח שירות,ה-WWW
אתר ה-WWW הראשון באינטרנט היה,שנתיים
בשנת 1995 היו קיימים כ-100,אלף
תקשורת של אחד לרבים כלומר,הפצת
בשלב זה דמו האתרים לספר,או
הצופים באתר לא היו יכולים,לתקשר
חלק מסוג זה של תקשורת,הוא
תקשורת של רבים אל רבים,זה
רשתות חברתיות ואתרי העלאת תוכן,"חינמיים,"
בתחילתו היה האינטרנט פרויקט של,משרד
"אולם, בעקבות לחץ בינלאומי בתחילת",שנות
למרות זאת נסוגה ארצות הברית,מהכרזה
נסיגה זו הביאה ליוזמה להפקיע,את
כיום האינטרנט מנוהל בעיקר על,ידי
"הבולטים שבהם הם ICANN, שאחראי",על
בין גופים אלו יש מערכת,כפיפויות
במרץ 2004 הועלתה יוזמה להפקיע,את
במשך שנים הרשת נוהלה באופן,נייטרלי
"למרות זאת, יכולה כל מדינה",לנטר
"כמו כן, כל מדינה יכולה",להחיל
"יש מדינות כגון סין, סוריה",ואיראן
"למרות זאת, הן אינן יכולות",להגביל
מבנה זה מאפשר גם ניצול,לרעה
בשנים האחרונות התפתח ויכוח על,אופיה
בישראל מוסדרת הפעילות באינטרנט על,ידי
;דפי אינטרנט: בדומה לדפי עיתון,או
אוסף של דפי אינטרנט אשר,מאוגדים
דפי אינטרנט מכילים לרוב קישורים,אל
המשתמשים ניגשים אל דפי האינטרנט,באמצעות
איתור מידע רצוי באינטרנט מבוצע,בעיקר
ארגונים רבים מאפשרים לקבל מידע,אישי
לפופולריות רבה זוכים אתרי אינטרנט,הפועלים
;שיתוף קבצים: שירות בו משתמש,משתף
הגישה אל הקבצים נעשית באמצעות,תוכנות
"כמו כן, יוצרים וארגונים רבים",מפרסמים
"קבלת הקבצים נקראת ""הורדה"", ומגוון",התכנים
;דואר אלקטרוני: שירות המאפשר למשתמש,לשלוח
הודעות אלו יכולות להכיל מלל,או
;שיחות אינטרנטיות: באינטרנט ישנם מספר,דרכים
ה-IRC היא אוסף של קבוצות,"שיחה,"
דרך אחרת לשיחות אינטרנטיות היא,מסרים
שירות המאפשר למשתמש להקליד ולשלוח,הודעות
ישנן כמה רשתות ותוכנות של,מסרים
;פורומים: באינטרנט ניתן להשאיר הודעות,בנושאים
הפורומים מחולקים לנושאים ותחומי עניין,"שונים,"
הקטגוריות שלהן מאורגנות לפי מבנה,היררכי
שם של קבוצת הדיון מורכב,מנושאים
"בנוסף, חברות וארגונים אחרים מפעילים",שרתי
"שרתים אחרים (למשל, של ספק",שירותי
קהילה וירטואלית מהווה הרחבה של,מושג
;מולטימדיה באינטרנט: העברת צליל ווידאו,אפשרית
טלפוניית IP מאפשרת לקיים שיחות,טלפוניה
השיחות יכולות להתבצע בין תוכנות,"מחשב,"
אחת התוכנות הבולטות בשוק זה,היא
במרבית התוכנות שתומכות בטכנולוגיה זו,ניתן
טכנולוגיות של הזרמת מדיה מאפשרות,להעביר
;הוראה וחינוך: טכנולוגיית המידע והתקשורת,על
דרך האינטרנט מאפשרת גישה אינספור,מקורות
"למשל: מאגרי מידע, סרטונים, הפעלות","אינטראקטיביות,"
;רשתות חברתיות: רשתות חברתיות ובראשן,פייסבוק
NTP - פרוטוקול המאפשר לכוון,את
פרוטוקול זה בשימוש באופן בלתי,מורגש
שרתי FTP הכילו אלפי קבצים,ובתוכם
משתמשים שחיפשו קובץ או תוכנה,מסוימת
כיום משמש פרוטוקול זה בעיקר,להעברת
אלה שנותרו משמשים בדרך כלל,מוסדות
Archie - שרתי Archie הכילו,בסיסי
"כדי למצוא קובץ, המשתמש היה",מפעיל
Gopher - רשת Gopher הייתה,רשת
"כדי למצוא בה מידע, היה",צורך
Veronica - שירות שפעל על,רשת
קרנם של שירותים אלה ירדה,עם
בהיותה של הרשת מבוססת פרוטוקול,TCP/IP
חיבור זה נעשה על פי,רוב
ספק שירותי אינטרנט הוא חברה,או
צורת החיבור הביתית אל ספק,שירותי
בתחילה היה נפוץ החיבור באמצעות,מודם
מתקנים אלו המירו את המידע,הדיגיטלי
(אשר נועדה להעברת שיחות טלפון),כדי
מכיוון שמערכת הטלפון לא תוכננה,להעברת
"לאחר מכן, הגיעה טכנולוגיית ISDN,",שאיפשרה
טכנולוגיה זו איפשרה גם לבצע,שיחות
כיום ישנן ארצות בהן עדיין,משתמשים
"טכנולוגיות מבוססות DSL (כגון ADSL),",המאפשרות
שיטה זו משתמשת גם היא,בקווי
היא גם חוסכת את הצורך,בהמרה
חיבור בכבלים הינו אפשרות להשתמש,בתשתית
ישנן ארצות בהן ספק הטלוויזיה,גם
"בישראל נקבע שספק הכבלים, חברת","""HOT"","
"חברות גדולות וארגונים אחרים, כמו",מוסדות
קווי תקשורת אלה מספקים קצבי,העברה
עם הגידול במספר המשתמשים באינטרנט,הופיעו
תרבות האינטרנט כוללת תחומים רבים,ובהם:.
תופעת אינטרנט - מם שכל,פרסומו
חישוב מבוזר קהילתי - יצירת,עוצמת
האינטרנט תרם מאוד להתפתחות רעיון,הקוד
לאור גודלו של הקהל הנחשף,לרשת
אחת הפעילויות המסחריות הוותיקות והמרכזיות,ברשת
אחד המדדים להערכת כמות הגולשים,העושים
ענפי הפעילות העסקית המרכזיים ברשת,האינטרנט:.
מסחר אלקטרוני (e-commerce) - חנויות,מקוונות
את המוצר מקבלים הקונים בדרך,כלל
פרסום מקוון - פרסומות באתרי,אינטרנט
דואר זבל - דואר פרסומי,הנשלח
"כך ניתן לפרסם בקלות רבה,",וללא
מסחר אלקטרוני בין חברות (B2B,-
יוזמה זו זכתה להד רציני,בשלהי
דיון - ברשת נפוצות מאוד,קבוצות
סקרים מראים שחלק גדול ממשתמשי,האינטרנט
על-פי מחקר שבוצע ב-2009 באוניברסיטת,הרווארד
"נוסף על כך, נוצרו בתקופה",זאת
בלשנות (לינגוויסטיקה) היא חקר שפה,טבעית
אדם העוסק בחקר זה נקרא,בלשן
קיימות בבלשנות אסכולות שונות שחלוקות,ביניהן
"המונחים ""בַּלְשָן"" ו""בַּלְשָנוּת"" מקורם במדרש",על
"חז""ל קראו את המילים ""מרדכי","בִּלשן"""
בתלמוד הבבלי נדרש השם בִּלְשָׁן,ככינוי
"בימינו מקובל המונח ""בלשנות"" כחלופה",עברית
ההבחנה המרכזית היא בין בלשנות,מסורתית
הבלשנות המסורתית היא בעיקרה בלשנות,דיאכרונית:
"הבלשנות המודרנית, לעומת זאת, נוטה",לגישה
הגישה הסינכרונית יעילה במיוחד בחקר,רכישת
הבלשנות המסורתית היא לעתים קרובות,נורמטיבית:
"הבלשנות המודרנית, לעומת זאת, מניחה",שאין
"כשם שפיזיקאים, למשל, אינם מנסים",להכתיב
לכן הבלשנות המודרנית היא דסקריפטיבית,"(תיאורית),"
הבלשנות המודרנית החלה להתפתח בתחילת,המאה
הבלשנות המודרנית צמחה במידה רבה,מתוך
הוויכוח המפורסם בין נועם חומסקי,לבין
"אף על-פי-כן, ככל שהתקדם המחקר",במסגרות
הבלשנות המסורתית ממשיכה להתקיים גם,במקביל
בלשנים מחלקים את חקר השפה,למספר
"החלוקה הזאת נובעת בחלקה ממסורת,",ונועדה
חלוקות מסוימות משקפות בעיות אמיתיות,במחקר
לא כל הבלשנים מסכימים על,החלוקות
"רוב הבלשנים הקוגניטיביים, לדוגמה, יחשבו",שהקטגוריות
תחומי ביניים אחרים מתפתחים ככל,שמתקדם
המילה דקדוק (באנגלית: Grammar) מתייחסת,בדרך-כלל
להלן רשימת התחומים המקובלת על,רוב
פונטיקה - חקר הצלילים השונים,שמופיעים
דוגמה לפונטיקה היא תופעת נסוג,אחור.
פונולוגיה - חקר חוקי השפה,המגדירים
מורפולוגיה - חקר המבנה הפנימי,של
תחביר (Syntax)- חקר המבנה של,"משפטים,"
חקר השיח (Discourse Analysis) -,חקר
סמנטיקה - חקר המשמעות המילולית,של
פרגמטיקה - חקר האופן שבו,השפה
לתחום זה זיקה הדוקה לסמנטיקה,ולחקר
פסיכובלשנות (פסיכולינגוויסטיקה) - חקר התהליכים,הפסיכולוגיים
תחום זה החל להתפתח לקראת,סוף
דו לשוניות - חקר התהליכים,המיוחדים
תורת הסגנון - חקר השימוש,במשלבים
עיבוד והפקה - חקר התהליכים,המעורבים
"נוירובלשנות, חקר עיבוד השפה במוח,",הבנת
בלשנות היסטורית - חקר התפתחותן,של
אטימולוגיה - חקר מקורן של,המילים
לתחום זה זיקה הדוקה לבלשנות,היסטורית.
אבולוציה של השפה - חקר,ראשית
"במשך רובה של המאה העשרים,",הייתה
תחום זה משתמש גם בתאוריות,ושיטות
סוציולינגוויסטיקה - חקר הקשר בין,הלשון
"תחום שמקובל להכלילו במסגרת בלשנות,",אך
פילולוגיה - חקר של טקסטים,"כתובים,"
"בנוסף לבלשנות הקלאסית, מתפתח בשנים",האחרונות
החלוקה המסורתית של שפות לפי,משפחות
בפועל אין הדברים ברורים כל,"כך,"
כמו כן ויכוחים רבים מתגלעים,בין
יחד עם זאת מדובר בשיטה,נוחה
באתר שימה מקיפה של לשונות,העולם
"כמו כן, קיימות עשרות משפחות",שפות
"השוק הבינלאומי, ובעיקר מדינות מתפתחות,",מסתמן
אחת התרומות החשובות לתמיכה מסודרת,וחופשית
הפרויקט מספק ערכה הכוללת חמישה,פונטים
פרויקט Hspell הוא פרויקט המספק,פתרון
שולחנות עבודה פופולריים כמו KDE,כבר
אפשר למשל לבצע בדיקת איות,בשדות
בעבר נעשו מספר גרסאות מקומיות,של
כיום אף אחת מהן אינה,מתוחזקת.
כנרת היא הפצת לינוקס מבוססת,Knoppix
כנרת נולדה בפורום קוד פתוח,של
פרויקט גנו/לינוקס כנרת שם לעצמו,למטרה
"הפרויקט לא פעיל כעת, ולכן",לא
הסיבה היא תוכנה מיושנת שלא,תתאים
יא הפצת לינוקס עברית המבוססת,על
הפצה זו מאפשרת למשתמשי יוניקס,חדשים
עד כה יצאו שלוש גרסאות,שזכו
מפתח קזית 1 ו- 2,הוא
קזיקס (kazix) היא הפצת לינוקס,עברית
פרויקט זה שאף למצב את,עצמו
פרייקט זה אינו מתוחזק יותר,ואינו
יא מיני הפצה המכילה תמיכה,בעברית
הפצה זו נבנתה בעבור כנס,"""אוגוסט"
הלוגו של אחד אחד הינו,פרויקט
"פרויקט ""אחד"" מתעתד לספק אוסף",שימושי
"משתמשי ""אחד"" יכולים להנות מכל",כלי
ההפצה הזאת לא מעודכנת מאז,שנת
"היא לא מקבלת עדכוני אבטחה,",היא
לא מומלץ להשתמש בהפצה זו,בימינו
מנדריבה (Mandriva; לשעבר מנדרייק) היא,אחת
מנדריבה הופצה על ידי גאל,דובאל
להפצה יתרונות רבים: היא נחשבת,"ידידותית,"
חסרונותיה הם שירותים מסוימים שזמינים,רק
דובאל לקח את Red Hat,"Linux,"
יכולת זיהוי החומרה האוטומטית של,הפצה
לא מעט משתמשים בלינוקס הצליחו,להתקין
מנדריבה זכתה מאז לפופולריות בקרב,משתמשים
תהליך הפיתוח של מנדריבה פתוח,ושקוף
במהלך הפיתוח של גרסאות חדשות,מופיעות
כאשר הפרויקט מתכוון להוציא גרסה,"חדשה,"
שלב מבחני האיכות של הגרסה,בפיתוח
החל בגרסה 9.0 מחזורי העדכון,התארכו
מגרסת 2007 חזרו במנדריבה להוציא,גרסה
משתמשים המעוניינים לבחון גרסאות בטא,יכולים
זהו מאפיין מהותי של עולם,הקוד
המשתמשים בוחרים לעתים להתפשר על,יציבות
באפריל 2005 שונה שם החברה,ממנדרייק
לקראת סוף העשור הראשון של,המאה
בשנת 2010 רכשה חברת NGI,הרוסית
ב-18 בספטמבר 2010 החליטה קבוצה,של
מנדריבה היא הפצה הראשונה (והיחידה,כמעט)
הגרסאות הראשונות (5.3 עד 6.2),התבססו
החל מגרסה 7.0 הפכה ההתקנה,להיות
גרסה חדשה יצאה פעם בחצי,שנה.
לאחר גרסה 10.1 החליטה החברה,לקרוא
בסתיו 2005 יצאה הגרסה שנקראה,2006.
החל מאותה שנה יצאה הגרסה,החדשה
"עם זאת, לשנת 2010 יצאה",גם
